Id,SalePrice
1461,201344.83898910577
1462,145687.1184236262
1463,166176.72786787446
1464,164640.30203888277
1465,169292.7269132878
1466,160861.09868124803
1467,158389.94722698678
1468,155114.00122687547
1469,169292.7269132878
1470,171800.9431309159
1471,169949.2115256892
1472,140373.43972278485
1473,146592.08487202198
1474,160861.09868124803
1475,145236.73235373493
1476,204644.5012868717
1477,224043.32207858056
1478,201344.83898910577
1479,193401.4117689662
1480,240207.9179151059
1481,205438.07246662848
1482,166434.18920015288
1483,159620.7409472906
1484,160487.98272882256
1485,155956.75741539962
1486,159991.84067568718
1487,240952.8121567014
1488,226134.09443653462
1489,193102.23439644542
1490,172200.3602407377
1491,166434.18920015288
1492,159497.23241591724
1493,163497.3120980385
1494,206394.42096516036
1495,198712.6912169448
1496,169292.7269132878
1497,180386.6084586267
1498,165919.66480676655
1499,165919.66480676655
1500,165919.66480676655
1501,160861.09868124803
1502,167987.35551002476
1503,221285.66449884456
1504,180945.9952289526
1505,181507.1166725274
1506,173135.94842284362
1507,190725.41630498707
1508,193401.4117689662
1509,160985.6633316571
1510,167208.96899926022
1511,169030.84366199374
1512,170740.35426044898
1513,165919.66480676655
1514,114428.89358468581
1515,155956.75741539962
1516,164640.30203888277
1517,146025.82429700418
1518,178718.80264360088
1519,184910.5758817907
1520,145236.73235373493
1521,145687.1184236262
1522,160861.09868124803
1523,140264.82393655408
1524,146365.31761736068
1525,144899.85676104072
1526,140373.43972278485
1527,193102.23439644542
1528,142122.77531234457
1529,166434.18920015288
1530,160861.09868124803
1531,137789.7254402074
1532,114428.89358468581
1533,175293.5679035836
1534,137789.7254402074
1535,137789.7254402074
1536,146025.82429700418
1537,209290.2610956943
1538,143005.60123918497
1539,185483.99159538787
1540,114428.89358468581
1541,185483.99159538787
1542,151553.4661351539
1543,146025.82429700418
1544,133588.78098923006
1545,137789.7254402074
1546,178718.80264360088
1547,137789.7254402074
1548,145687.1184236262
1549,185483.99159538787
1550,165919.66480676655
1551,143005.60123918497
1552,178166.3011054151
1553,114428.89358468581
1554,131536.58482697487
1555,151788.27145632743
1556,131536.58482697487
1557,114428.89358468581
1558,136833.1403599789
1559,114428.89358468581
1560,162111.09474704586
1561,114428.89358468581
1562,157900.29112462373
1563,142122.77531234457
1564,180805.9861205159
1565,165919.66480676655
1566,195206.23508578466
1567,160861.09868124803
1568,171402.45245992907
1569,165919.66480676655
1570,164258.42031085351
1571,134522.68528408738
1572,151905.81050181924
1573,178166.3011054151
1574,169030.84366199374
1575,172200.3602407377
1576,251432.46548332387
1577,184196.29842881474
1578,166434.18920015288
1579,179273.01750374722
1580,170212.51761635373
1581,145236.73235373493
1582,166434.18920015288
1583,220943.3525170388
1584,185053.76340697613
1585,158389.94722698678
1586,137789.7254402074
1587,146478.6573619937
1588,148418.91674437968
1589,165919.66480676655
1590,150268.5144565641
1591,114428.89358468581
1592,139939.4805715238
1593,155836.08391904293
1594,114428.89358468581
1595,114428.89358468581
1596,145687.1184236262
1597,166434.18920015288
1598,165023.07159212124
1599,181788.3295771533
1600,172600.70594324457
1601,133588.78098923006
1602,185627.62314889592
1603,147731.20204670393
1604,171800.9431309159
1605,203066.54331963326
1606,165023.07159212124
1607,208643.24972944515
1608,190725.41630498707
1609,171137.30563947881
1610,155956.75741539962
1611,172200.3602407377
1612,185483.99159538787
1613,194602.76364023384
1614,139183.2776869657
1615,114428.89358468581
1616,114428.89358468581
1617,142784.38197505823
1618,150268.5144565641
1619,167857.37324724696
1620,184338.93284843987
1621,178718.80264360088
1622,141573.7788108907
1623,166176.72786787446
1624,184338.93284843987
1625,168769.3655222098
1626,172200.3602407377
1627,164640.30203888277
1628,186636.16306888207
1629,154754.2155353253
1630,177066.4168247726
1631,167857.37324724696
1632,172200.3602407377
1633,155474.6233732317
1634,160861.09868124803
1635,157047.03257258623
1636,159620.7409472906
1637,177478.07547416244
1638,172333.70552476795
1639,166434.18920015288
1640,160985.6633316571
1641,165791.28243533577
1642,179411.83954760252
1643,180386.6084586267
1644,177203.53017251848
1645,165662.99940073723
1646,172200.3602407377
1647,169292.7269132878
1648,165534.8156261086
1649,148418.91674437968
1650,178718.80264360088
1651,178718.80264360088
1652,140373.43972278485
1653,143005.60123918497
1654,160861.09868124803
1655,160861.09868124803
1656,160861.09868124803
1657,160861.09868124803
1658,160861.09868124803
1659,149456.49609111992
1660,190135.7970416349
1661,205120.27538565366
1662,223350.70251018845
1663,228952.17278133507
1664,206394.42096516036
1665,218223.85102391522
